Job Name,label,CompanyName,Job Type,Experience Required,JD,City,Date Posted,IT,Department,Status
" New Job Positions .Net, .Netcore, Flutter, Tea Boy Job ",Premium Job,"Nayel Solutions, Pakistan", Job,2 Years Job Exp.,"New Job Positions .net, .netcore, flutter, Tea boy in Nayel Solutions3 Positions for .net \ .netcore Developer programming language c#2 Positions for Flutter dart Developer1 Position for Tea boy",Islamabad,12-Mar-23,False,IT Job,1
 Senior Web Developer Job ,Premium Job,"Eurosoft Tech Private Limited, Pakistan", Job,2 Years Job Exp.,"We are looking for an experienced Web Developer.Responsible for creating the design and layout of a website or web pagesKnowledge Of Front End Technologies Including CSS3, JavaScript, HTML5, And jQuery.Familiarity With Word Press Development and E-Co",Karachi,12-Mar-23,True,IT Job,0
 Russian Speakers Job ,Premium Job,"ICM JAPAN, Pakistan", Job,< 1 Year,International clients dealing exposure (B2B).Search new customers and bring business for the company.To promote business in the given region or country and Manage Business Accounts of customers.To maintain quality services with existing customers.Sal,Karachi,12-Mar-23,False,Customer Service Job,1
 Customer Support Specialist - International Job ,Premium Job,"ibex, Pakistan", Job,Job for Fresh Graduates,"Responsible for acting as a liaison between our customer and the respective client. Provides assistance to the customers with their questions, issues, new orders, service delivery requirements, billing, and any other query.Location: Karachi, Lahore &",Islamabad,9-Mar-23,False,Customer Service Job,1
 English Speaker - International Business Development Executive - BDE Job ,Premium Job,"ICM JAPAN, Pakistan", Job,< 1 Year,International clients dealing exposure (B2B) and (B2C).Search new customers and bring business for the company.To promote business in the given region or country and Manage Business Accounts of customers.To maintain quality services with existing cus,Karachi,5-Mar-23,False,Customer Service Job,0
 Socks Operation Manager And Socks Inspector - Textiles Job ,Premium Job,"Uni Hosiery Co. Inc., Pakistan", Job,5 Years Job Exp.,"NOTE: Apply By Sending Your CV/Resume to: hrdpk @ unihosiery.comCandidates with less than 5 years experience will not be considered for this position.
A US based national-leading hosiery importer is seeking for candidates who can join us as &#39; Soc",Faisalabad,5-Mar-23,False,Production Job,0
 Call Center - Lead Agent Job ,Premium Job,"Pakistan Sweet Home AFP, Pakistan", Job,3 Years Job Exp.,"Each Lead Agent is responsible for generating a sales lead of Rs 100,000 (minimum). The agent has to establish his potential clientele database and keep follow up regularly.Job ResponsibilitiesMaking outbound phone calls to our donors, members and pr",Islamabad,22-Feb-23,False,Sales Job,1
 Manager Accounts & Taxation (CA) Job ,Premium Job,"Mercantile Enterprises Pvt Ltd, Pakistan", Job,4 Years Job Exp.,"We at Mercantile Enterprises (Pvt) Ltd is looking for an experienced Manager Accounts &amp; TaxationTo prepare final accounts as per accounting standards, ensuring compliance with statutory and company requirements;To establish, maintain, monitor, co",Lahore,22-Feb-23,False,Publishing Job,1
"Online  Remote Researcher, Content Creator, And Assistant Job ",Premium Job,"Confidential, Pakistan", Job,< 1 Year,"This job is a remote working opportunity. We are a small service company located in Texas. We specialize in piano tuning, moving, repair, and restoration.Job Benefits Ability to work from home with flexible scheduling, only 1-2 hours of fixed schedul",Faisalabad,17-Feb-23,False,Admin Job,0
 Angularjs And .Net Core Developer Job ,Premium Job,"Eurosoft Tech Private Limited, Pakistan", Job,7 Years Job Exp.,"Command on following skillsAngularJS
NodeJs
Dot net core
C# MVC
jQuery
Restful API architecture
web socket
IIS configuration
Push Notification
Sql server 2019, Visual studio 2017minimum 7 years good work experience required.
Responsible for developme",Karachi,16-Feb-23,True,IT Job,0
