Experience Required,JD,Job Name
2 Years Job Exp.,"We are looking for an experienced Web Developer.Responsible for creating the design and layout of a website or web pagesKnowledge Of Front End Technologies Including CSS3, JavaScript, HTML5, And jQuery.Familiarity With Word Press Development and E-Co", Senior Web Developer Job 
7 Years Job Exp.,"Command on following skillsAngularJS
NodeJs
Dot net core
C# MVC
jQuery
Restful API architecture
web socket
IIS configuration
Push Notification
Sql server 2019, Visual studio 2017minimum 7 years good work experience required.
Responsible for developme", Angularjs And .Net Core Developer Job 
1 Year Job Exp.,"We are looking for Backend Developers (NodeJS/GOlang) against permanent positions. Required expertise includes development of all server-side logic, definition and maintenance of the central database, while ensuring high performance.Experience:1+ yea", Sr. Backend Developer Job 
1 Year Job Exp.,"What You'll Do:Write, test, and document code. Can be new code in bootcamps or be on an existing projectUnderstand team codebase, product area and systems. Makes suggestions to fix amp; improve things.Work with a mentor in bootcamps to get themselves",Online  Associate Software Engineer - Backend (0-1.5 years experience) Job 
1 Year Job Exp.,"What You'll Do:Write, test, and document code. Can be new code in bootcamps or be on an existing projectUnderstand team codebase, product area and systems. Makes suggestions to fix amp; improve things.Work with a mentor in bootcamps to get themselves", Associate Software Engineer - Frontend (0-1.5 years experience) Job 
1 Year Job Exp.,"What You'll Do:Write, test, and document code. Can be new code in bootcamps or be on an existing projectUnderstand team codebase, product area and systems. Makes suggestions to fix amp; improve things.Work with a mentor in bootcamps to get themselves",Online  Associate Software Engineer - Fullstack (0-1.5 years experience) Job 
1 Year Job Exp.,"Become a part of one of the fastest growing startups ! Remotebase is a team of 40+ individuals, and just raised one of Pakistan’s largest seed rounds. We are looking for an exceptional individual to lead our Marketing and PR efforts. You w", Maketing and PR Specialist Job 
1 Year Job Exp.,"Is capable of leading an entire team through a road mapLeads the design review processMakes architecture level decisions for the projectIs recognized for high quality, impactful technical contributions. Usually the person who sets up and maintains co",Online  Principal Software Engineer (8+ years of experience) Job 
1 Year Job Exp.,"Design, develop and ship large projects Go-to guy for all other engineersCreate influence in whichever team they're working out of Be a team influencer and a team leaderParticipate effectively in cross-functional projects, like frontend, backend, sys",Online  Senior Software Engineer - Backend (5-8 years experience) Job 
1 Year Job Exp.,"Design, develop and ship large projectsGo-to guy for all other engineersCreate influence in whichever team they're working out ofBe a team influencer and a team leaderParticipate effectively in cross-functional projects, like frontend, backend, syste",Online  Senior Software Engineer - Frontend (5-8 years experience) Job 
1 Year Job Exp.,"Design, develop and ship large projects Go-to guy for all other engineersCreate influence in whichever team they're working out of Can be a team influencer and a team leaderParticipates effectively in cross-functional projects, like frontend, backend",Online  Senior Software Engineer - Fullstack (5-8 years experience) Job 
